Погран. переход;Дата;Время;Очередь на выезд
Брест;25.03.2024;00:00;380
Брест;25.03.2024;02:00;380
Брест;25.03.2024;04:00;380
Брест;25.03.2024;06:00;380
Брест;25.03.2024;08:00;200
Брест;25.03.2024;10:00;260
Брест;25.03.2024;12:00;280
Брест;25.03.2024;14:00;260
Брест;25.03.2024;16:00;260
Брест;25.03.2024;18:00;300
Брест;25.03.2024;20:00;350
Брест;25.03.2024;22:00;300
Каменный лог;25.03.2024;00:00;150
Каменный лог;25.03.2024;02:00;150
Каменный лог;25.03.2024;04:00;80
Каменный лог;25.03.2024;06:00;50
Каменный лог;25.03.2024;08:00;50
Каменный лог;25.03.2024;10:00;50
Каменный лог;25.03.2024;12:00;80
Каменный лог;25.03.2024;14:00;85
Каменный лог;25.03.2024;16:00;60
Каменный лог;25.03.2024;18:00;60
Каменный лог;25.03.2024;20:00;70
Каменный лог;25.03.2024;22:00;60
Бенякони;25.03.2024;00:00;170
Бенякони;25.03.2024;02:00;170
Бенякони;25.03.2024;04:00;150
Бенякони;25.03.2024;06:00;140
Бенякони;25.03.2024;08:00;100
Бенякони;25.03.2024;10:00;75
Бенякони;25.03.2024;12:00;50
Бенякони;25.03.2024;14:00;50
Бенякони;25.03.2024;16:00;90
Бенякони;25.03.2024;18:00;90
Бенякони;25.03.2024;20:00;90
Бенякони;25.03.2024;22:00;100
Григоровщина;25.03.2024;00:00;60
Григоровщина;25.03.2024;02:00;45
Григоровщина;25.03.2024;04:00;35
Григоровщина;25.03.2024;06:00;35
Григоровщина;25.03.2024;08:00;0
Григоровщина;25.03.2024;10:00;0
Григоровщина;25.03.2024;12:00;10
Григоровщина;25.03.2024;14:00;10
Григоровщина;25.03.2024;16:00;35
Григоровщина;25.03.2024;18:00;30
Григоровщина;25.03.2024;20:00;25
Григоровщина;25.03.2024;22:00;20
